date,daa
2023-06-14,656.0
2023-06-13,832.0
2023-06-12,1001.0
2023-06-11,747.0
2023-06-10,806.0
2023-06-09,804.0
2023-06-08,710.0
2023-06-07,688.0
2023-06-06,697.0
2023-06-05,702.0
2023-06-04,710.0
2023-06-03,599.0
2023-06-02,844.0
2023-06-01,696.0
2023-05-31,753.0
2023-05-30,956.0
2023-05-29,984.0
2023-05-28,824.0
2023-05-27,760.0
2023-05-26,797.0
2023-05-25,845.0
2023-05-24,786.0
2023-05-23,924.0
2023-05-22,1063.0
2023-05-21,883.0
2023-05-20,748.0
2023-05-19,838.0
2023-05-18,1268.0
2023-05-17,1585.0
2023-05-16,1041.0
2023-05-15,1388.0
2023-05-14,1159.0
2023-05-13,1296.0
2023-05-12,1285.0
2023-05-11,1320.0
2023-05-10,1146.0
2023-05-09,1757.0
2023-05-08,901.0
2023-05-07,799.0
2023-05-06,759.0
2023-05-05,877.0
2023-05-04,971.0
2023-05-03,681.0
2023-05-02,877.0
2023-05-01,1160.0
2023-04-30,1260.0
2023-04-29,2078.0
2023-04-28,2404.0
2023-04-27,1276.0
2023-04-26,1374.0
2023-04-25,1435.0
2023-04-24,1532.0
2023-04-23,1754.0
2023-04-22,2813.0
2023-04-21,3434.0
2023-04-20,1631.0
2023-04-19,638.0
2023-04-18,576.0
2023-04-17,702.0
2023-04-16,608.0
2023-04-15,737.0
2023-04-14,1055.0
2023-04-13,629.0
2023-04-12,647.0
2023-04-11,751.0
2023-04-10,746.0
2023-04-09,598.0
2023-04-08,658.0
2023-04-07,726.0
2023-04-06,750.0
2023-04-05,841.0
2023-04-04,882.0
2023-04-03,838.0
2023-04-02,971.0
2023-04-01,1178.0
2023-03-31,1388.0
2023-03-30,1475.0
2023-03-29,3372.0
2023-03-28,1671.0
2023-03-27,1070.0
2023-03-26,1128.0
2023-03-25,1536.0
2023-03-24,1749.0
2023-03-23,1138.0
2023-03-22,999.0
2023-03-21,828.0
2023-03-20,1154.0
2023-03-19,810.0
2023-03-18,831.0
2023-03-17,999.0
2023-03-16,877.0
2023-03-15,998.0
2023-03-14,820.0
2023-03-13,837.0
2023-03-12,741.0
2023-03-11,1058.0
2023-03-10,866.0
2023-03-09,847.0
2023-03-08,955.0
2023-03-07,767.0
2023-03-06,830.0
2023-03-05,684.0
2023-03-04,811.0
2023-03-03,993.0
2023-03-02,784.0
2023-03-01,1036.0
2023-02-28,846.0
2023-02-27,797.0
2023-02-26,746.0
2023-02-25,855.0
2023-02-24,887.0
2023-02-23,851.0
2023-02-22,923.0
2023-02-21,1329.0
2023-02-20,1547.0
2023-02-19,670.0
2023-02-18,753.0
2023-02-17,898.0
2023-02-16,1033.0
2023-02-15,878.0
2023-02-14,816.0
2023-02-13,870.0
2023-02-12,791.0
2023-02-11,892.0
2023-02-10,1050.0
2023-02-09,840.0
2023-02-08,756.0
2023-02-07,780.0
2023-02-06,718.0
2023-02-05,791.0
2023-02-04,753.0
2023-02-03,962.0
2023-02-02,1381.0
2023-02-01,1079.0
2023-01-31,915.0
2023-01-30,1070.0
2023-01-29,926.0
2023-01-28,837.0
2023-01-27,1521.0
2023-01-26,1827.0
2023-01-25,872.0
2023-01-24,1146.0
2023-01-23,952.0
2023-01-22,767.0
2023-01-21,859.0
2023-01-20,852.0
2023-01-19,762.0
2023-01-18,863.0
2023-01-17,967.0
2023-01-16,1193.0
2023-01-15,852.0
2023-01-14,979.0
2023-01-13,885.0
2023-01-12,980.0
2023-01-11,863.0
2023-01-10,827.0
2023-01-09,836.0
2023-01-08,716.0
2023-01-07,841.0
2023-01-06,773.0
2023-01-05,728.0
2023-01-04,779.0
2023-01-03,674.0
2023-01-02,831.0
2023-01-01,666.0
2022-12-31,732.0
2022-12-30,827.0
2022-12-29,726.0
2022-12-28,835.0
2022-12-27,728.0
2022-12-26,710.0
2022-12-25,760.0
2022-12-24,783.0
2022-12-23,999.0
2022-12-22,1145.0
2022-12-21,1083.0
2022-12-20,1135.0
2022-12-19,1066.0
2022-12-18,1055.0
2022-12-17,1469.0
2022-12-16,1742.0
2022-12-15,1120.0
2022-12-14,1117.0
2022-12-13,1055.0
2022-12-12,1130.0
2022-12-11,953.0
2022-12-10,913.0
2022-12-09,1005.0
2022-12-08,1010.0
2022-12-07,1230.0
2022-12-06,1259.0
2022-12-05,1399.0
2022-12-04,1209.0
2022-12-03,1241.0
2022-12-02,1767.0
2022-12-01,1650.0
2022-11-30,1876.0
2022-11-29,1876.0
2022-11-28,3352.0
2022-11-27,1607.0
2022-11-26,1918.0
2022-11-25,1860.0
2022-11-24,2404.0
2022-11-23,3210.0
2022-11-22,6500.0
2022-11-21,2855.0
2022-11-20,1427.0
2022-11-19,1435.0
2022-11-18,1554.0
2022-11-17,1664.0
2022-11-16,2165.0
2022-11-15,1680.0
2022-11-14,1948.0
2022-11-13,1913.0
2022-11-12,1787.0
2022-11-11,2018.0
2022-11-10,1936.0
2022-11-09,1827.0
2022-11-08,1690.0
2022-11-07,1709.0
2022-11-06,1450.0
2022-11-05,1844.0
2022-11-04,2135.0
2022-11-03,1584.0
2022-11-02,1635.0
2022-11-01,1927.0
2022-10-31,1767.0
2022-10-30,1355.0
2022-10-29,1703.0
2022-10-28,2242.0
2022-10-27,1920.0
2022-10-26,2054.0
2022-10-25,2100.0
2022-10-24,2265.0
2022-10-23,1501.0
2022-10-22,1558.0
2022-10-21,2053.0
2022-10-20,1613.0
2022-10-19,1413.0
2022-10-18,1286.0
2022-10-17,1390.0
2022-10-16,1146.0
2022-10-15,1457.0
2022-10-14,1934.0
2022-10-13,2589.0
2022-10-12,1324.0
2022-10-11,1344.0
2022-10-10,1282.0
2022-10-09,1068.0
2022-10-08,1225.0
2022-10-07,1532.0
2022-10-06,1414.0
2022-10-05,1395.0
2022-10-04,1505.0
2022-10-03,1537.0
2022-10-02,1401.0
2022-10-01,1871.0
2022-09-30,3124.0
2022-09-29,1672.0
2022-09-28,1827.0
2022-09-27,2436.0
2022-09-26,1367.0
2022-09-25,1577.0
2022-09-24,2251.0
2022-09-23,2231.0
2022-09-22,1397.0
2022-09-21,1374.0
2022-09-20,1416.0
2022-09-19,1635.0
2022-09-18,1293.0
2022-09-17,1243.0
2022-09-16,1877.0
2022-09-15,2212.0
2022-09-14,1708.0
2022-09-13,1926.0
2022-09-12,2016.0
2022-09-11,1463.0
2022-09-10,1749.0
2022-09-09,1858.0
2022-09-08,1576.0
2022-09-07,1731.0
2022-09-06,1707.0
2022-09-05,1444.0
2022-09-04,1386.0
2022-09-03,1880.0
2022-09-02,2117.0
2022-09-01,1788.0
2022-08-31,2515.0
